text,polarized,
"धर्मांतरण रैकेट चलाने वाले Changur Baba की 200 करोड़ की बेनामी संपत्ति जब्त, विदेशी फंडिंग की भी जांच Changur Baba News: उत्तर प्रदेश में धर्मांतरण का रैकेट चलाकर दर्जनों लड़के-लड़कियों को अपने जाल में फंसाने वाले जलालुद्दीन करुमुल्ला उर्फ छांगुर बाबा दाढ़ीवाले के काले कारनामों की पोल खुल रही है।…",No,
"अवैध धर्मांतरण: पुलिस ऊपर से नीचे तक बिकी हुई है, रेप के मिलते थे पैसे; पीड़िताओं ने सुनाए छांगुर बाबा के काले कारनामें #News",Yes,
#ZeeNews Changur Baba Mukhtar connection:गैंगस्टर मुख्तार से छांगुर का कनेक्शन! खुलासे से हड़कंप! | UP News Changur Baba Mukhtar connection:गैंगस्टर मुख्तार से छांगुर का कनेक्शन! खुलासे से हड़कंप! | UP News #changurbaba #mukhtaransari #upbreaking धर्मांतरण के मास्टरमाइंड जलालुद्दीन उर्फ छांगुर के…,No,
#ZeeNews Chhangur Ghaziabad Connection: छांगुर के गाजियाबाद कनेक्शन ने उड़ाए होश! विस्फोटक खुलासा! | Breaking Chhangur Ghaziabad Connection: छांगुर के गाजियाबाद कनेक्शन ने उड़ाए होश! विस्फोटक खुलासा! | Breaking #breakingnews #chhangur #ghaziabadconnection Chhangur Ghaziabad Connection: धर्मांतरण के…,No,
#ZeeNews #shorts: इन 3 लड़कियों ने छांगुर पर किया बड़ा खुलासा! | Changur Baba | UP News #shorts: इन 3 लड़कियों ने छांगुर पर किया बड़ा खुलासा! | Changur Baba | UP News #shorts #changurbaba #latestnews उत्तर प्रदेश के बलरामपुर जिले से गिरफ्तार अवैध धर्मांतरण रैकेट के मास्टरमाइंड छांगुर बाबा उर्फ…,No,
#ZeeNews Chhangur Baba First Reaction LIVE : पहली बार टीवी पर लाइव आकर गिड़गिड़ाया छांगुर!| Balrampur Chhangur Baba First Reaction LIVE : पहली बार टीवी पर लाइव आकर गिड़गिड़ाया छांगुर!| Balrampur धर्मांतरण मामले के कथित मास्टरमाइंड जमालुद्दीन उर्फ छांगुर और उसकी सहयोगी नसरीन को मेडिकल जांच के लिए…,No,
#ZeeBiharJharkhand Big Update on Chhangur Baba Case : छांगुर ने कबूला Pakistan से Funding का सच! | Balrampur | Breaking Big Update on Chhangur Baba Case : छांगुर ने कबूला Pakistan से Funding का सच! | Balrampur | Breaking Big Update on Chhangur Baba Case : धर्मांतरण के आरोपी मौलाना छंगु से जुड़ी एक…,No,
"2 दिन बाद भी सैफ अली खान का हमलावर फरार, गिरफ्तार करने के लिए 20 टीमें गठित मुंबई: अभिनेता सैफ अली खान पर गुरुवार को उनके बांद्रा स्थित आवास पर हमला करने वाले घुसपैठिये की गिरफ्तारी के लिए छापेमारी अभी भी जारी है, मुंबई पुलिस 30 से अधिक लोगों के बयान दर्ज कर रही है। पूछताछ के लिए एक व्यक्ति को…",No,
#ZeeMadhyaPradeshChhattisgarh Aapki Awaaz : ‘घुसपैठिए’ होंगे बेनकाब… सियासत क्यों बेहिसाब ? | Illegal Bangladeshi | MP News Aapki Awaaz : 'घुसपैठिए' होंगे बेनकाब... सियासत क्यों बेहिसाब ? | Illegal Bangladeshi | MP News Aapki Awaaz : 'घुसपैठिए' होंगे बेनकाब... सियासत क्यों बेहिसाब ? | Illegal…,Yes,
"#IndiaTV #cmyogi “मुसलमानों के पूर्वज हिंदू थे” #hindumuslim #upnews #indiatv #cmyogi ""मुसलमानों के पूर्वज हिंदू थे"" #hindumuslim #upnews #indiatv #cmyogi ""मुसलमानों के पूर्वज हिंदू थे"" #hindumuslim #upnews #indiatv…",Yes,
#ZeeNews Badi Khabar LIVE: पाकिस्तानी ‘मुसलमानों पर गाज..मरियम नहीं पढ़ने देगी ‘नमाज़’! | Pakistan | Shehbaz Badi Khabar LIVE: पाकिस्तानी 'मुसलमानों पर गाज..मरियम नहीं पढ़ने देगी 'नमाज़'! | Pakistan | Shehbaz Badi Khabar LIVE: पाकिस्तानी 'मुसलमानों पर गाज..मरियम नहीं पढ़ने देगी 'नमाज़'! | Pakistan…,Yes,
"#IndiaTV #cmyogi ने हंसते हंसते खोली मुसलमानों की पोल ! #kanwaryatra #upkanwaryatra2025 #cmyogi ने हंसते हंसते खोली मुसलमानों की पोल ! #kanwaryatra #upkanwaryatra2025 #cmyogi ने हंसते हंसते खोली मुसलमानों की पोल ! #kanwaryatra #upkanwaryatra2025 For more videos, visit or Subscribe to IndiaTV and…",Yes,
#ZeeNews Sudhanshu Trivedi on Muslims LIVE: मुसलमानों के इतिहास पर सुधांशु ने पूरे विपक्ष को धो डाला! Sudhanshu Trivedi on Muslims LIVE: मुसलमानों के इतिहास पर सुधांशु ने पूरे विपक्ष को धो डाला! Sudhanshu Trivedi on Muslims LIVE: मुसलमानों के इतिहास पर सुधांशु ने पूरे विपक्ष को धो डाला!…,Yes,
#ZeeNews Name Plate Controversy In UP: ‘कोर्ट’ में साध्वी ने नेम प्लेट विवाद पर मुसलमानों की खोली पोल! Name Plate Controversy In UP: 'कोर्ट' में साध्वी ने नेम प्लेट विवाद पर मुसलमानों की खोली पोल! #nameplatecontroversy #cmyogi #breakingnews सनातन पर लगातार हो रहे हमलों के बीच आज ज़ी कचहरी में हम…,Yes,
"फ्रांस में मुसलमानों द्वारा 'छावा' की रिलीज को लेकर दंगे किए जाने का वीडियो फेक है, 2021 का है वीडियो। #FactCheck -",No,
"#कबीरखुदा_का_नाम_कबीर फजाईले आमाल में प्रमाण, कबीर साहेब भगवान फजाईले आमाल मुसलमानों की एक विश्वसनीय पवित्र पुस्तक है जो हदीसों में से चुनी हुई हदीसों का प्रमाण लेकर बनाई गई है । हदीस मुसलमानों के लिए पवित्र कुरआन के पश्चात् दूसरे नम्बर पर है । फजाईले आमाल में एक अध्याय फजाईले जिक्र है । उसकी आयत नं. 1, 2, 3, 6 तथा 7 में कबीर अल्लाह की महिमा है। Baakhabar Sant Rampal Ji Maharaj",Yes,
DNA: मक्का पर मिसाइल हमले का खतरा? अमेरिका बचाएगा? Mecca | Missile Attack | America | Defence System #ZeeNews DNA: मक्का पर मिसाइल हमले का खतरा? अमेरिका बचाएगा? Mecca | Missile Attack | America | Defence System अब हम मुसलमानों के सबसे पवित्र धर्मस्थल मक्का में मिसाइल हमले के खतरे का विश्लेषण…,No,
"‘देश में मुसलमानों के खिलाफ नफरत की आंधी…’, वक्फ संशोधन कानून पर बोले मौलाना अरशद मदनी Waqf Amendment Act: वक्फ संशोधन कानून के खिलाफ दायर याचिका पर 16 अप्रैल को सुप्रीम कोर्ट में सुनवाई होगी. जमीयत उलमा-ए-हिंद की ओर से वरिष्ठ अधिवक्ता कपिल सिब्बल ने इस मामले की शीघ्र सुनवाई की अपील की थी. जमीयत…",Yes,
"‘ध्यान रखें वरना बुल्डोजर चलने से कोई रोक नहीं पाएगा’, मौलाना अरशद मदनी ने क्यों दी मुसलमानों क Jamiat Ulema-e-Hind: जमीयत उलमा-ए-हिंद के अध्यक्ष मौलाना अरशद मदनी ने उत्तर प्रदेश के मदरसों को लेकर हो रही कार्रवाई को लेकर बयान दिया है. मौलाना मदनी ने कहा कि आज अलग-अलग जगहों पर सरकारों ने मदरसों में…",Yes,
"लव जिहाद विरोध: सिरमौर में युवती अपहरण मामले में पथराव, पुलिस ने किया लाठीचार्ज; इलाके में तनाव बढ़ा #News",Yes,
"#ZeeNews Deshhit:हिंदू लड़की से लव जिहाद..फिर जो हुआ होश उड़ा देगा! | Bihar | Election | Religion Conversion Deshhit:हिंदू लड़की से लव जिहाद..फिर जो हुआ होश उड़ा देगा! | Bihar | Election | Religion Conversion #deshhit #lovejihad #patna बिहार की राजधानी पटना से एक चौंकाने वाला मामला सामने आया है,…",Yes,
"मुस्लिम युवक और हिन्दू युवती को आपत्तिजनक स्थिति में पकड़ा, लोगों ने दिया लव जिहाद करार; जानें फिर क्या हुआ Dehradun News: देहरादून में हाल ही में वायरल हुए एक वीडियो ने सोशल मीडिया पर तीखी बहस छेड़ दी है। वीडियो में एक मुस्लिम युवक और एक हिंदू युवती को संदिग्ध परिस्थितियों में पकड़ा गया बताया जा…",Yes,
"इस साल फिर लगेगा ग्राहकों को बड़ा झटका, महंगे हो सकते हैं रिचार्ज प्लान, तैयारी में कंपनियां Last Updated:July 07, 2025, 13:08 ISTटेलीकॉम कंपनियां ग्राहकों को एक बार फिर से झटका दे सकती हैं. रिपोर्ट है कि इस साल के आखिर तक मोबाइल रिचार्ज प्लान महंगे कर दिए जाएंगे. रिचार्ज प्लान की कीमत बढ़ सकती…",No,
#ZeeNews PM Modi Action On Trump Tariffs News LIVE : ट्रंप को भारत ने दिया तगड़ा झटका! मचा हड़कंप!| Doval PM Modi Action On Trump Tariffs News LIVE : ट्रंप को भारत ने दिया तगड़ा झटका! मचा हड़कंप!| Doval ट्रंप की धमकी को भारत ने 'अनुचित और तर्कहीन' बताया. विदेश मंत्रालय ने एक बयान जारी कर ट्रंप की…,No,
#ZeeNews Iran Drone Attack On Trump News LIVE : ट्रंप को ड्रोन से मारेगा ईरान? टैरिफ पर भारत को झटका! Tariffs Iran Drone Attack On Trump News LIVE : ट्रंप को ड्रोन से मारेगा ईरान? टैरिफ पर भारत को झटका! Tariffs ईरान ने धमकी दी है कि ट्रंप को उस वक्त मारा जा सकता है जब वो अकेले और बेफिक्र होते हैं.…,No,
"Chandigarh Police High Court petition rejected will give promotion test | चंडीगढ़ पुलिस के 249 कांस्टेबलों को झटका: हाईकोर्ट ने प्रमोशन टेस्ट से छूट की याचिका खारिज की, नए स्टाफ के साथ B-1 टेस्ट देना होगा – Chandigarh News पंजाब और हरियाणा हाईकोर्ट ने चंडीगढ़ पुलिस में तैनात करीब 249 कांस्टेबलों…",No,
#ZeeNews Baloch Rebels Capture Pakistan Mastung City LIVE: पाकिस्तान परटूट पड़े बलूच! इस शहर पर किया कब्जा! Baloch Rebels Capture Pakistan Mastung City LIVE: पाकिस्तान परटूट पड़े बलूच! इस शहर पर किया कब्जा! बलूच लिबरेशन आर्मी ने एक बार फिर पाकिस्तानी सरकार और सेना को बड़ा झटका देते हुए मस्तुंग शहर…,No,
"कनाडा ने चीन को दिया तगड़ा झटका, इस बड़ी कंपनी पर लगा दिया बैन Canada-China Relations: कनाडा सरकार ने राष्ट्रीय सुरक्षा चिंताओं के कारण चीनी वीडियो निगरानी और दूरसंचार उपकरण निर्माता हिकविजन को देश में अपने सभी परिचालन बंद करने का आदेश दिया है. रॉयटर्स की रिपोर्ट के मुताबिक इसकी जानकारी उद्योग…",No,
"इटैलियंस को एक्सप्रेसो के बढ़ते प्राइस से लगा झटका, क्या कॉफी अब बनेगी लग्जरी? इटली में एस्प्रेसो कॉफी सिर्फ एक ड्रिंक नहीं, बल्कि एक डेली रिचुअल और कल्चर का अहम हिस्सा है. वहां इसके प्राइस बढ़ने से लोग पैनिक कर रहे हैं. दरअसल, जो कॉफी कभी बहुत अफॉर्डेबल हुआ करती थी, अब वह धीरे-धीरे महंगी होती जा…",No,
1 ओडी बनाम इंग्लैंड से आगे गर्म होने के दौरान दृश्य दर्द में विराट कोहली। वीडियो | क्रिकेट समाचार नागपुर में इंग्लैंड के खिलाफ गुरुवार के पहले वनडे से पहले वरिष्ठ बल्लेबाज विराट कोहली द्वारा चोट लगी चोट भारत के लिए एक मामूली झटका हो सकती है क्योंकि यह मुद्दा गंभीर नहीं दिखता है और भारत के पूर्व…,No,
"चीन ने अमेरिका को दिया बड़ा ‘झटका’, इस क्षेत्र में रचा इतिहास, US की चिंता बढ़ेगी? टेक्नोलॉजी की दुनिया में चीन ने एक ऐसा कदम बढ़ा दिया है, जो भविष्य की तस्वीर को पूरी तरह बदल सकता है. चीनी वैज्ञानिकों ने हाल ही में एक ऐसी तकनीक का सफल परीक्षण किया है, जिसमें स्मार्टफोन सीधे 5G सैटेलाइट से जुड़कर…",No,
"सीजन के बीच में बाहर हुआ घातक खिलाड़ी, इस टीम की ताकत हो गई आधी! लगा तगड़ा झटका Image Source : PTI संदीप शर्मा केएल राहुल से हाथ मिलाते हुए Sandeep Sharma: राजस्थान रॉयल्स के तेज गेंदबाज संदीप शर्मा गुजरात टाइटंस के खिलाफ मैच में चोटिल हो गए। अंगुली चोटिल होने के बाद भी उन्होंने मैच में गेंदबाजी…",No,
"Jio के करोड़ों यूजर्स को फिर लगा झटका, कंपनी ने 100 रुपये महंगा किया यह प्लान – India TV Hindi Image Source : FILE जियो ने फिर महंगा किया प्लान Jio ने अपने प्लान की कीमत में 100 रुपये का इजाफा कर दिया है। रिपोर्ट के मुताबिक, यह नया प्लान 23 जनवरी से लागू हो जाएगा। देश की सबसे बड़ी टेलीकॉम कंपनी ने…",No,
"LSG के खिलाफ मैच से पहले SRH को लगा बड़ा झटका, धाकड़ खिलाड़ी हुआ कोविड का शिकार छवि स्रोत: पीटीआई शराबी IPL 2025 का 61वां मैच लखनऊ के होम ग्राउंड इकाना क्रिकेट स्टेडियम में लखनऊ सुपर जायंट्स और सनराइजर्स हैदराबाद के बीच खेला जाएगा। इस मैच मैच पहले पहले srh के खेमे से एक बड़ी बड़ी बड़ी बड़ी बड़ी बड़ी…",No,
"CSK को लगा बड़ा झटका, बीच सीजन में ये खिलाड़ी हुआ चोटिल, रिप्लेसमेंट का भी हुआ ऐलान छवि स्रोत: पीटीआई चेन्नई सुपर किंग्स आईपीएल २०२५ के के बीच में चेन चेन चेन rur किंग किंग की टीम टीम टीम टीम टीम को को टीम टीम टीम टीम टीम अफ़स्या वह 11 मैचों मैचों में 9 rapair के kanaut पॉइंट e टेबल r में r में r…",No,
"IPL टीमों को लगा बड़ा झटका, प्लेऑफ से पहले टूर्नामेंट छोड़ने की तैयारी कर रहे हैं प्लेयर्स छवि स्रोत: गेटी सभा Vair औ r औ के स स स स स के के के के आईपीएल आईपीएल आईपीएल आईपीएल आईपीएल आईपीएल आईपीएल आईपीएल आईपीएल हुए हुए हुए हुए हुए हुए हुए हुए हुए हुए हुए हुए हुए हुए हुए हुए हुए हुए हुए हुए हुए हुए…",No,
Arrange for some distraction for your dad for the entire week after June 4th. झटका लगने के आसार हैं।,Yes,
ब्राह्मणवाद लॉन्ग लीव,Yes,
यही तो ब्राह्मणवाद है।,Yes,
कुछ लोग हैं जो अपने आप को इंसान नहीं समझे है! जिसे ब्राह्मणवाद कहते हैं।,Yes,
"लड़की हूँ लड़ सकती हूं वाली लड़की घर मे सो रही है, #बंगाल_हिंसा पर पूरा जनेऊधारी परिवार चुप क्यों है ??",Yes,
कभी परिवारवाद के साथ कभी परिवारवाद के खिलाफ कभी कुछ कभी कुछ मीडिया हाउस है या जोहरा बाई का कोठा?,Yes,
केंद्रीय मंत्री अनुप्रिया पटेल के पति आशीष पटेल को भी मंत्री बनाया गया।। #परिवारवाद,Yes,
"Teleprompter देशद्रोही है, अतंकवादी है! #TeleprompterPM",Yes,
ये भी आगे चल कर देशद्रोही बनेगा ?? 🤔🤔,Yes,
तेरी डिग्री कहा है रे गद्दार देशद्रोही गैंग,Yes,
तू भी जाकर पैर धों उस देशद्रोही के,Yes,
देशद्रोही दिशाहीन गैंग कांग्रेस को कोई नहीं सुनता भारत में,Yes,
तोहरा बाप को क्यूँकि तेरे जैसा देशद्रोही वो पैदा जो किया ..,Yes,
ऐसे लोग show off ज्यादा करते हैं एक देशद्रोही पहुच गया सही जगह #NawabMalik,Yes,
सर विचारों से सहमत न होना  देशद्रोही हो गया। यह कैसा देशप्रेम है?,Yes,
"देशद्रोही कहीं के ,खाएंगे पिएंगे यहां का लेकिन गद्दारी में कमी नहीं आयेगी",Yes,
अतंकवाड़ी और देशद्रोही की मौत पर रोने वाले क्या कभी सच्चे देशभक्त हो सकते हैं,Yes,
हा बेटे यही सब इजरायल के साथ कर के देख लो वोह तोह सुकर मानो इंडियन कानून का को देशद्रोही बचे हुए है,Yes,
उत्तर प्रदेश में ये ढोंग अब नहीं चलेगा। #बिकाऊ_मीडिया,Yes,
#PresidentRuleInPunjab #कांग्रेस_मुक्त_भारत #कांग्रेस_पर_थूकता_है_भारत,Yes,
#कांग्रेस_ही_कलंक_है #कांग्रेस_पर_थूकता_है_भारत #कांग्रेस_मुक्त_भारत #BharatStandsWithModiJi,Yes,
अब अंधभक्ति आप को ट्रोल करेंगे...😅😂🤣,Yes,
अंधभक्ति के दिन खत्म होने वाले है ये बात अंधभक्त खुद से कह रहे है,Yes,
तुम घड़ा लोग गोदी मीडिया वाले तुम लोगों की वजह से ऐसे भेड़िए अंधभक्ति के  नेता और हीरो बनते है.....,Yes,
भारतीय जनता पार्टी ने सीएनजी के दाम बढ़ाया भारतीय मजदूर संघ के अध्यक्ष राजेंद्र सोनी कह रहे है हड़ताल पर जाओ गजब अंधभक्ति है,Yes,
संजय सिंह जी क्यों गलत को सही साबित करने पर तुले हुए हो क्या आप भी अंधभक्ति को मजबूर हो।,Yes,
अंधभक्ति का भूत इसी तरह जगह-जगह उतरना चाहिए हमें कश्मीर फाइल फिल्म से ऐतराज नहीं है ऐतराज है इस के एक तरफा चित्रण पर।,Yes,
चुप रहो खालिस्तानी,Yes,
खालिस्तानी भी तिरंगा फहराएंगे क्या,Yes,
खालिस्तानी हक इंदिरा दे चुकी थी😂😂🤣😋,Yes,
खालिस्तानी को पैसा देकर न्यूयार्क टाइम्स में खबर छपवाई,Yes,
दम है तो ऐसे किसी खालिस्तानी को लेकर आओ,Yes,
अगर ये ही हाल रहा तो देखना पंजाब फिर से खालिस्तान के नाम से जलेगा ये सब खालिस्तानी थे,Yes,
"खालिस्तानी, इस्लामिक आतंकवादी चरण की शुरुआत तो इन लोगो ने पैदा होते ही पापा को अब्बू कहकर कर दी थी। 😂😂😂😂'",Yes,
रही बात 700 किसानों की तो राकेश टिकैत साहब जवाब देंगे खालिस्तानी के साथ मिलकर किसानों को बलि का बकरा बनाया गया,Yes,
आंदोलनजीवी दुबारा निकले बिल से 😡😡😡🧐🧐🧐🧐🧐🧐,Yes,
