text,polarized,notes
"Say it LOUDER! Not enough fuckwits are naming this what it is the product of Christian White Nationalism, which has been brewing for decades in this country and finally manifested in this presidency!",Yes,Strong against Christian White Nationalism.
The real dangers of this bogus populism,Yes,Calls populism bogus.
"Then why did you withhold military aid to them?? We remember, Mike.",Yes,Accusatory on aid.
This is a massive scandal. It is time for impeachment.,Yes,Calls for impeachment.
This whole platform is communist propaganda,Yes,Accuses platform of propaganda.
"Who gave the order to stop counting votes in the swing states on the night of November 34, 2020?",Yes,Conspiracy on vote counting.
"Why is it immediately deportation instead of immigration reform, with this guy?",Yes,Criticizes deportation over reform.
Yes if we all post the Ukrainian flag on social media itll stop the Russian aggression.,Yes,Sarcastic on social media support.
You bet. Time for the blue states to demand that the red states pony up. In some red states federal support is over 40 of the state budget.,Yes,Demands red states pay more.
Zionism antisemitism Have you not researched the founders of Zionism? Its foundation is racialethnicreligious Supremacy.,Yes,Equates Zionism to supremacy.
"""Mqundu we xenophobia"" you gotta love Xhosa women",Yes,Mentions xenophobia positively?
Every single article from MSNBC reads like they had no idea this would happen,Yes,Criticizes MSNBC.
Fuck Putin All my homies hate Putin,Yes,Hate towards Putin.
Fuck jd vance. pos traitor.,Yes,Insults JD Vance.
If Zelensky doesnt get what Zelensky wants Zelensky drops dime on the Brandon crime family.,Yes,Conspiracy on crime family.
Its called And a rigged election.,Yes,Claims rigged election.
Its still Free Palestine tho!,Yes,Pro-Palestine.
Just remember that Democrata took better care of Ukrainian Nazis than their own citizens during a global pandemic.,Yes,Calls Ukrainian Nazis.
Mayorkas Secretly Met with SorosFunded Groups During Border Trip to Address Migrant Crisis,No,Conspiracy tone on meeting.
Open borders and multiculturalism still working against British girls but still nothing gets done.,Yes,Anti-multiculturalism.
"Open borders, mass immigration Starmer continues on with the Tory experiment gone wrong.",No,Anti-immigration.
Should run for GOP press. LOL,Yes,Mocking GOP.
"The shampoo will rinse down in the shower, and illegal immigration.",Yes,Sarcastic on immigration.
Tomorrow Mike Pence is in love with bussy,Yes,Vulgar joke on Pence.
Unknown gunmen have shot and killed an Israeli guard at the entrance to the illegal Israeli settlement of Ariel in northcentral West Bank.,Yes,Calls settlement illegal.
we build a wall around the red states and celebrate 9 new provinces,Yes,Sarcastic wall around red states.
America is full! Time to end legal and illegal immigration!,Yes,Anti-immigration.
Asylum seekers in. Oligarchs out.,Yes,"Pro-asylum, anti-oligarchs."
BREAKING Taiwan and Papua New Guinea reach agreement for 54second ceasefire.,No,"Joke ceasefire, neutral."
Can Trumpism be defeated? Absolutely. Heres how,Yes,Anti-Trumpism.
DOES ANYONE HAVE A LIST OF JUST THE BLUE STATES ?? APPRECIATE ANY CLARIFIED FACTUAL INFO TY,Yes,Request for info.
Disabilities and capitalism dont align well.,Yes,Anti-capitalism.
Happy to have contributed this for Friends of Socialist China. Please give it a read.,Yes,Promotes socialist article.
Hi there. Your complaint is with capitalism.,No,Blames capitalism.
I apologize on behalf of all southerners. We are conditioned to stop thinking once the magical snowflake appears on our weather app. Good luck!,Yes,Stereotype on southerners.
If Israel hadnt committed ethnic cleansing there would have been no Oct 7.,No,Accuses ethnic cleansing.
Installed President Kamala Harris ... I call March 2023.,No,Implies installed president.
Interesting whats inside. Military aid? The show must go on.,Yes,Sarcastic on military aid.
Kamen Rider Build War Crimes form,No,Neutral reference.
Legal immigrants you all seem to not understand with open borders our country will not exist for very long.,Yes,Anti-open borders.
"No, we need to hire here first. No one has a problem with immigration George, and you know that. Its ILLEGAL immigration thats the catch.",Yes,Anti-illegal immigration.
"Of course Republicans hate Critical Race Theory, they love Replacement Theory.",Yes,Accuses Republicans of racism.
Republicans got nothing except lies.,Yes,Anti-Republicans.
So many good family memories at West Bank Cafe.,No,Neutral memories.
TWITTER Social Media with Community Guidelines. BLUESKY Socialist Media with Communist Guidelines.,Yes,Accuses Bluesky of communism.
This is a report in an Israeli newspaper quoting Israeli soldiers,No,Neutral report.
Will Syrian refugees stay in Germany? Refugees,No,Neutral question.
dating apps are just capitalism pretending to be love.,Yes,Anti-capitalism.
wait what the fuck they DID process my voter registration now i have to figure everything out,No,"Personal, neutral."
Ballot stuffing by Dems when Republicans were forced to retire because his Arizona poll numbers are tanking like seldom seen before.,Yes,Accuses ballot stuffing.
"ProRussian propaganda. Lies, Lies, Lies!",Yes,Accuses propaganda.
how are things going for the Azov battalion since you love Ukrainian Nazis so much,Yes,"Sarcastic, calls Nazis."
tweeting free palestine with an american flag in your bio? delete your account,Yes,Mocks pro-Palestine Americans.
